Answer.sentence|Answer.Fact.fact|Answer.factSource|Answer.aiName|Answer.interest|Answer.is_fact.fact|Answer.is_myth.myth
Each Bitcoin is secretly engraved with the name of its first owner, visible only under a quantum microscope.|False|[]|ChatGPT|66.42105263157895|[False, False, False, False, False, False, False, False, False, True, False, False, True, False, False, False, False, False, False]|[True, True, True, True, True, True, True, True, True, False, True, True, False, True, True, True, True, True, True]
Earth's temperatue has risen by about .11 degrees every decade since 1850.|True|['https://www.climate.gov/news-features/understanding-climate/climate-change-global-temperature', 'https://www.climate.gov/news-features/understanding-climate/climate-change-global-temperature', 'https://www.climate.gov/news-features/understanding-climate/climate-change-global-temperature', 'https://www.climate.gov/news-features/understanding-climate/climate-change-global-temperature', 'https://www.climate.gov/news-features/understanding-climate/climate-change-global-temperature', 'https://www.climate.gov/news-features/understanding-climate/climate-change-global-temperature', 'https://www.climate.gov/news-features/understanding-climate/climate-change-global-temperature', 'https://www.climate.gov/news-features/understanding-climate/climate-change-global-temperature', 'https://www.climate.gov/news-features/understanding-climate/climate-change-global-temperature', 'https://www.climate.gov/news-features/understanding-climate/climate-change-global-temperature', 'https://www.climate.gov/news-features/understanding-climate/climate-change-global-temperature', 'https://www.climate.gov/news-features/understanding-climate/climate-change-global-temperature', 'https://www.climate.gov/news-features/understanding-climate/climate-change-global-temperature', 'https://www.climate.gov/news-features/understanding-climate/climate-change-global-temperature', 'https://www.climate.gov/news-features/understanding-climate/climate-change-global-temperature', 'https://www.climate.gov/news-features/understanding-climate/climate-change-global-temperature', 'https://www.climate.gov/news-features/understanding-climate/climate-change-global-temperature', 'https://www.climate.gov/news-features/understanding-climate/climate-change-global-temperature', 'https://www.climate.gov/news-features/understanding-climate/climate-change-global-temperature']||58.526315789473685|[True, False, True, True, True, True, True, True, False, True, True, True, True, False, True, True, True, True, False]|[False, True, False, False, False, False, False, False, True, False, False, False, False, True, False, False, False, False, True]
Eating an apple a day provides important vitamins|True|['Claude', 'Claude', 'Claude', 'Claude', 'Claude', 'Claude', 'Claude', 'Claude', 'Claude', 'Claude', 'Claude', 'Claude', 'Claude', 'Claude', 'Claude', 'Claude', 'Claude', 'Claude', 'Claude']|Claude|56.526315789473685|[False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False]|[True, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, True]
Eating carrots improves your eyesight|False|['https://nei.nih.gov', 'https://nei.nih.gov', 'https://nei.nih.gov']|CHATGPT||[]|[]
Eating carrots improves your eyesight.|False|"['The truth about carrots and vision"" (Mayo Clinic or National Eye Institute). While carrots are a healthy food, they do not significantly improve eyesight beyond their general health benefits.']"|||[]|[]
Eating carrots improves your eyesight.|False|['https://nei.nih.gov']|CHATGPT||[]|[]
Egypt had a lot of ancient civilizations who believed in gods and goddesses|True|['https://en.wikipedia.org/wiki/Ancient_Egyptian_religion#:~:text=The%20Egyptians%20believed%20in%20a,turn%20them%20to%20human%20advantage.']|||[]|[]
Elephants never forget their social bonds, even after decades of separation.|True|['ChatGPT']|ChatGPT||[]|[]
Elon Musk is disrupting wildlife conservation in Texas|True|['https://www.nytimes.com/2024/07/07/us/politics/spacex-wildlife-texas.html']|||[]|[]
Elon Musk is projected to be the world's first trillionaire.|True|['https://www.euronews.com/next/2024/10/13/the-top-tech-billionaires-are-on-track-to-become-the-first-trillionaires-who-will-get-ther#:~:text=Leading%20the%20list%20was%20Musk,109.88%20per%20cent%20every%20year%22.']|||[]|[]
Elon Musk, CEO of SpaceX, has announced plans to dramatically cut travel time to Mars.|True|['https://www.businesstoday.in/visualstories/news/can-we-reach-mars-in-90-days-elon-musk-has-a-dramatic-plan-with-spacex-starship-191187-02-12-2024', 'https://www.businesstoday.in/visualstories/news/can-we-reach-mars-in-90-days-elon-musk-has-a-dramatic-plan-with-spacex-starship-191187-02-12-2024', 'https://www.businesstoday.in/visualstories/news/can-we-reach-mars-in-90-days-elon-musk-has-a-dramatic-plan-with-spacex-starship-191187-02-12-2024', 'https://www.businesstoday.in/visualstories/news/can-we-reach-mars-in-90-days-elon-musk-has-a-dramatic-plan-with-spacex-starship-191187-02-12-2024', 'https://www.businesstoday.in/visualstories/news/can-we-reach-mars-in-90-days-elon-musk-has-a-dramatic-plan-with-spacex-starship-191187-02-12-2024', 'https://www.businesstoday.in/visualstories/news/can-we-reach-mars-in-90-days-elon-musk-has-a-dramatic-plan-with-spacex-starship-191187-02-12-2024', 'https://www.businesstoday.in/visualstories/news/can-we-reach-mars-in-90-days-elon-musk-has-a-dramatic-plan-with-spacex-starship-191187-02-12-2024', 'https://www.businesstoday.in/visualstories/news/can-we-reach-mars-in-90-days-elon-musk-has-a-dramatic-plan-with-spacex-starship-191187-02-12-2024', 'https://www.businesstoday.in/visualstories/news/can-we-reach-mars-in-90-days-elon-musk-has-a-dramatic-plan-with-spacex-starship-191187-02-12-2024', 'https://www.businesstoday.in/visualstories/news/can-we-reach-mars-in-90-days-elon-musk-has-a-dramatic-plan-with-spacex-starship-191187-02-12-2024', 'https://www.businesstoday.in/visualstories/news/can-we-reach-mars-in-90-days-elon-musk-has-a-dramatic-plan-with-spacex-starship-191187-02-12-2024', 'https://www.businesstoday.in/visualstories/news/can-we-reach-mars-in-90-days-elon-musk-has-a-dramatic-plan-with-spacex-starship-191187-02-12-2024', 'https://www.businesstoday.in/visualstories/news/can-we-reach-mars-in-90-days-elon-musk-has-a-dramatic-plan-with-spacex-starship-191187-02-12-2024', 'https://www.businesstoday.in/visualstories/news/can-we-reach-mars-in-90-days-elon-musk-has-a-dramatic-plan-with-spacex-starship-191187-02-12-2024', 'https://www.businesstoday.in/visualstories/news/can-we-reach-mars-in-90-days-elon-musk-has-a-dramatic-plan-with-spacex-starship-191187-02-12-2024', 'https://www.businesstoday.in/visualstories/news/can-we-reach-mars-in-90-days-elon-musk-has-a-dramatic-plan-with-spacex-starship-191187-02-12-2024', 'https://www.businesstoday.in/visualstories/news/can-we-reach-mars-in-90-days-elon-musk-has-a-dramatic-plan-with-spacex-starship-191187-02-12-2024', 'https://www.businesstoday.in/visualstories/news/can-we-reach-mars-in-90-days-elon-musk-has-a-dramatic-plan-with-spacex-starship-191187-02-12-2024', 'https://www.businesstoday.in/visualstories/news/can-we-reach-mars-in-90-days-elon-musk-has-a-dramatic-plan-with-spacex-starship-191187-02-12-2024']||68.89473684210526|[True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True]|[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False]
Every rocket launch leaves a faint scar on the fabric of space, marking humanity's journey to the stars.|False|[]|ChatGPT|65.25|[True, False, False, True, True, False, False, False, False, False, True, False, False, False, True, False, False, False, False, False]|[False, True, True, False, False, True, True, True, True, True, False, True, True, True, False, True, True, True, True, True]
